highway,km,buraco,remendo,trinca,placa,drenagem
116,562.0,0,12,76,16,44
116,563.0,0,87,848,344,514
116,564.0,0,459,1296,135,783
116,565.0,0,567,1323,270,1026
116,566.0,0,324,1269,243,405
116,567.0,0,351,1323,54,783
116,568.0,0,675,1323,162,513
116,569.0,0,810,1323,54,567
116,570.0,0,567,1323,81,351
116,571.0,0,108,1323,162,810
116,572.0,0,108,1296,378,756
116,573.0,0,702,1350,189,540
116,574.0,0,945,1323,243,999
116,575.0,0,567,1323,27,756
116,576.0,0,432,1323,243,810
116,577.0,0,243,1296,432,945
116,578.0,0,243,1323,243,756
116,579.0,0,108,1323,135,702
116,580.0,0,216,1323,54,729
116,581.0,0,459,1350,162,702
116,582.0,0,999,1323,594,648
116,583.0,0,1026,1350,324,756
116,584.0,0,1971,1323,81,891
116,585.0,0,1134,1296,405,999
116,586.0,0,540,1296,405,486
116,587.0,0,486,1323,540,729
116,588.0,0,1296,1323,108,513
116,589.0,0,1080,1269,216,756
116,590.0,0,241,1128,288,174
116,591.0,0,480,960,180,440
116,592.0,0,1200,940,120,240
116,593.0,0,600,960,140,660
116,594.0,0,140,960,100,300
116,595.0,0,660,940,140,280
116,596.0,0,340,960,500,560
116,597.0,0,200,940,320,380
116,598.0,0,580,940,300,660
116,599.0,0,800,940,40,720
116,600.0,0,1940,960,0,720
116,601.0,0,2840,940,20,740
116,602.0,0,1340,940,60,700
116,603.0,0,2020,940,80,580
116,604.0,0,2040,960,40,720
116,605.0,0,3060,940,0,740
116,606.0,0,1220,960,0,480
116,607.0,0,620,980,60,560
116,608.0,0,1000,960,120,460
116,609.0,0,98,158,29,109
